,raw,char,line
35,"ANTHONY PYE:  Let's see how you like being locked up, you little tattle-tale.",ANTHONY PYE," Let's see how you like being locked up, you little tattle-tale."
36,MINNIE MAY BARRY:  Let me go! Let me go!  I'm gonna tell on you two!  Let me go! Let me go!  I'm gonna tell on you two! You two are bad boys. I'm--,MINNIE MAY BARRY, Let me go! Let me go!  I'm gonna tell on you two!  Let me go! Let me go!  I'm gonna tell on you two! You two are bad boys. I'm--
37,"ANTHONY PYE:  See how you like that, you little tattle-tale.",ANTHONY PYE," See how you like that, you little tattle-tale."
38,"TOMMY BELL: Yeah, we're gonna sic his dog on you if you say anything.",TOMMY BELL,"Yeah, we're gonna sic his dog on you if you say anything."
39,MINNIE MAY BARRY:  [screaming] I want out!,MINNIE MAY BARRY, [screaming] I want out!
40,"ANNE:  Why, Minnie May!",ANNE," Why, Minnie May!"
41,MINNIE MAY BARRY:  Anthony Pye and Tommy Bell locked me in here because I was gonna tell on those two.  They were smoking cigarettes.  And Anthony's gonna sic his watch dog on me.,MINNIE MAY BARRY, Anthony Pye and Tommy Bell locked me in here because I was gonna tell on those two.  They were smoking cigarettes.  And Anthony's gonna sic his watch dog on me.
42,"ANNE:  He'll do no such thing.  Now, you run home.  Your mother will be wondering where you are.",ANNE," He'll do no such thing.  Now, you run home.  Your mother will be wondering where you are."
43,"MINNIE MAY BARRY:  Alright, Miss Shirley.",MINNIE MAY BARRY," Alright, Miss Shirley."
44,        SCENE:  Lake,        SCENE, Lake
45,"MR. PYE: Ah, good day, Miss Shirley.",MR. PYE,"Ah, good day, Miss Shirley."
46,"ANNE:  Good afternoon, Mr. Pye.",ANNE," Good afternoon, Mr. Pye."
47,MR. PYE: Must be glad school's out.  I hope my Anthony behaved himself this year.,MR. PYE,Must be glad school's out.  I hope my Anthony behaved himself this year.
48,"ANNE:  Anthony's grades have been quite good, and he is well liked by everyone.  I understand from Minnie May Barry that you have an excellent watch dog looking out for you, Anthony.",ANNE," Anthony's grades have been quite good, and he is well liked by everyone.  I understand from Minnie May Barry that you have an excellent watch dog looking out for you, Anthony."
49,"MR. PYE: Oh, and that's a fact.  No foxes around our chicken coop this year, Miss Shirley.",MR. PYE,"Oh, and that's a fact.  No foxes around our chicken coop this year, Miss Shirley."
50,"ANNE:  A finer watch dog you'll never see, so Minnie May was just telling me.  Oh, and thank you, Anthony, for volunteering with Tommy to whitewash the outhouse for me next Monday.  I hear you two are excellent painters.  Well, I'll be seeing you, then, Monday morning at 9:00.  Good day.",ANNE," A finer watch dog you'll never see, so Minnie May was just telling me.  Oh, and thank you, Anthony, for volunteering with Tommy to whitewash the outhouse for me next Monday.  I hear you two are excellent painters.  Well, I'll be seeing you, then, Monday morning at 9:00.  Good day."
51,        SCENE:  The Avonlea post office,        SCENE, The Avonlea post office
52,"ANNE:  I'm sorry.  I know you're closed, Mrs. Harrison, but I promised Marilla I'd pick up the mail in town today.  The post man, he left a registered card in our box yesterday.",ANNE," I'm sorry.  I know you're closed, Mrs. Harrison, but I promised Marilla I'd pick up the mail in town today.  The post man, he left a registered card in our box yesterday."
53,"MRS. HARRISON: Lucky you caught us, Anne Shirley.  Don't know if I've seen anything come through today, though.",MRS. HARRISON,"Lucky you caught us, Anne Shirley.  Don't know if I've seen anything come through today, though."
54,"MRS. SLOANE: No, ma'am. No, nothing for Green Gables.",MRS. SLOANE,"No, ma'am. No, nothing for Green Gables."
55,"ANNE:  But I have a registered card, Mrs. Sloane.",ANNE," But I have a registered card, Mrs. Sloane."
56,"MRS. SLOANE: Oh, just a minute, now.  Oh!  That's right!  I remember.  One of them big manilla envelopes that you've been sending out recently did come back yesterday registered mail.  Yes, here it is.  Now.  I can't see a thing without my glasses.",MRS. SLOANE,"Oh, just a minute, now.  Oh!  That's right!  I remember.  One of them big manilla envelopes that you've been sending out recently did come back yesterday registered mail.  Yes, here it is.  Now.  I can't see a thing without my glasses."
57,"MRS. HARRISON: It's got your name on it, alright.  ""Curtis Publishing Company, Boston.""  Ain't they magazine people?",MRS. HARRISON,"It's got your name on it, alright.  ""Curtis Publishing Company, Boston.""  Ain't they magazine people?"
58,"ANNE:  Must be a complimentary subscription or some such nuisance.  Thanks so much for letting me in.  Good afternoon Mrs. Harrison, Mrs. Sloane.",ANNE," Must be a complimentary subscription or some such nuisance.  Thanks so much for letting me in.  Good afternoon Mrs. Harrison, Mrs. Sloane."
59,        SCENE:  Outside the Avonlea post office,        SCENE, Outside the Avonlea post office
60,"GILBERT:  [grabbing letter] So, this is why you keep disappearing on me every time I plan to pick you up after school.  ",GILBERT," [grabbing letter] So, this is why you keep disappearing on me every time I plan to pick you up after school.  "
61,ANNE:  Gilbert Blythe!,ANNE, Gilbert Blythe!
62,GILBERT:  All this secrecy.  You never have time to speak to your friends anymore.,GILBERT, All this secrecy.  You never have time to speak to your friends anymore.
63,ANNE:  You give that back or I won't speak to you again.,ANNE, You give that back or I won't speak to you again.
64,"GILBERT:  Well, if you're going to be so touchy.  [gives back the letter] ",GILBERT," Well, if you're going to be so touchy.  [gives back the letter] "
65,ANNE:  Thank you.,ANNE, Thank you.
66,"GILBERT:  You know, people think you have been acting very peculiarly lately, and I might as well tell you so.  Why didn't you show up at the Carmody Spring Festival?  I saved a spot for you at our table.",GILBERT," You know, people think you have been acting very peculiarly lately, and I might as well tell you so.  Why didn't you show up at the Carmody Spring Festival?  I saved a spot for you at our table."
67,ANNE:  I was busy.  I was trying to get my finals marked.,ANNE, I was busy.  I was trying to get my finals marked.
68,"GILBERT:  Anne, you had your finals marked and posted with the board before I did.  What are you up to?",GILBERT," Anne, you had your finals marked and posted with the board before I did.  What are you up to?"
69,ANNE:  Nothing.  This is a completely personal matter.,ANNE, Nothing.  This is a completely personal matter.
70,GILBERT:  I suppose it must be.  You can't keep your word anymore.,GILBERT, I suppose it must be.  You can't keep your word anymore.
71,"ANNE:  Good grief!  You know how to try one's patience, don't you?",ANNE," Good grief!  You know how to try one's patience, don't you?"
72,"GILBERT:  Don't get up on your high horse with me, Anne Shirley.  I cycled all the way from Carmody to tell you something I found out about Diana Barry today.",GILBERT," Don't get up on your high horse with me, Anne Shirley.  I cycled all the way from Carmody to tell you something I found out about Diana Barry today."
73,"ANNE:  You are a real pill, Gilbert Blythe.  What about Diana Barry?",ANNE," You are a real pill, Gilbert Blythe.  What about Diana Barry?"
74,GILBERT:  Uh-uh.  Not until you spill the beans.,GILBERT, Uh-uh.  Not until you spill the beans.
75,ANNE:  You won't say anything to your folks or Jane Andrews or Charlie Sloane.,ANNE, You won't say anything to your folks or Jane Andrews or Charlie Sloane.
76,GILBERT:  On my honor.,GILBERT, On my honor.
77,ANNE:  And you promise you won't ever tease me about this.,ANNE, And you promise you won't ever tease me about this.
78,GILBERT:  I wouldn't risk your anger.,GILBERT, I wouldn't risk your anger.
79,ANNE:  Alright.,ANNE, Alright.
80,"GILBERT:  [reading letter] ""Dear Miss Shirley,  We regret to return the enclosed manuscript Averil's Atonement but are unable to accept it for publication.  Sincerely yours, Women's Home Journal Magazine""?",GILBERT," [reading letter] ""Dear Miss Shirley,  We regret to return the enclosed manuscript Averil's Atonement but are unable to accept it for publication.  Sincerely yours, Women's Home Journal Magazine""?"
81,ANNE:  You know the story I wrote this spring?  I'm attempting to get it published.,ANNE, You know the story I wrote this spring?  I'm attempting to get it published.
82,"GILBERT:  Anne, that's tremendous!  [rings bell] Listen to this, everybody!  Avonlea's public school teacher soon to become world famous Canadian authoress--",GILBERT," Anne, that's tremendous!  [rings bell] Listen to this, everybody!  Avonlea's public school teacher soon to become world famous Canadian authoress--"
83,"ANNE:  It hasn't happened yet, you fool!  And don't you dare tell anyone.   Now, what's all the fuss about Diana Barry?",ANNE," It hasn't happened yet, you fool!  And don't you dare tell anyone.   Now, what's all the fuss about Diana Barry?"
84,"GILBERT:  Well, from what I understand, she's going an extended vacation this summer.",GILBERT," Well, from what I understand, she's going an extended vacation this summer."
85,ANNE:  Is that all?  Where is she going?,ANNE, Is that all?  Where is she going?
86,"GILBERT:  You mean, with whom is she going?",GILBERT," You mean, with whom is she going?"
87,"ANNE:  Alright, with whom, then?  What difference does it make?",ANNE," Alright, with whom, then?  What difference does it make?"
88,GILBERT:  Fred Wright obviously makes a lot of difference to her.  He's proposed and Diana has accepted.,GILBERT, Fred Wright obviously makes a lot of difference to her.  He's proposed and Diana has accepted.
89,ANNE:  Proposed?  ,ANNE, Proposed?  
90,GILBERT:  Charlie Sloane found out from Fred himself.,GILBERT, Charlie Sloane found out from Fred himself.
91,"ANNE:  Roly Poly Fred Wright?  But, they hardly know each other.  Of all the stupid, sentimental things for Diana to do.  I didn't even know it was like this.  She probably only accepted because Fred was the first person to ever ask her.",ANNE," Roly Poly Fred Wright?  But, they hardly know each other.  Of all the stupid, sentimental things for Diana to do.  I didn't even know it was like this.  She probably only accepted because Fred was the first person to ever ask her."
92,GILBERT:  Don't be silly.  Fred's a terrific fellow.,GILBERT, Don't be silly.  Fred's a terrific fellow.
93,"ANNE:  He better steer clear of me.  He has no business waltzing in, stealing my best friend.",ANNE," He better steer clear of me.  He has no business waltzing in, stealing my best friend."
94,"GILBERT:  You're not jealous, are you?",GILBERT," You're not jealous, are you?"
95,"ANNE:  No.  Just disappointed.  Why do people have to grow up and marry, change?",ANNE," No.  Just disappointed.  Why do people have to grow up and marry, change?"
96,"GILBERT:  Oh, you'll change.  If someone ever admitted that they were head over heels for you, you'd be swept off your feet in an moment.",GILBERT," Oh, you'll change.  If someone ever admitted that they were head over heels for you, you'd be swept off your feet in an moment."
97,ANNE:  I would not.  And I defy anyone who would try and make me change.,ANNE, I would not.  And I defy anyone who would try and make me change.
98,GILBERT:  You do?,GILBERT, You do?
99,        SCENE:  Cycling on road,        SCENE, Cycling on road
100,ANNE:  Last one to the bridge is a stuffed goose!,ANNE, Last one to the bridge is a stuffed goose!
101,"GILBERT:  [he laughs]  Cheaters never prosper, Anne Shirley.",GILBERT," [he laughs]  Cheaters never prosper, Anne Shirley."
102,"ANTHONY PYE:  Watch out, Rover!",ANTHONY PYE," Watch out, Rover!"
103,"GILBERT:  [falls in lake] You've had it now, Miss Shirley.",GILBERT," [falls in lake] You've had it now, Miss Shirley."
104,        SCENE:  A field,        SCENE, A field
105,"ANNE:  [laughing] Sorry, Diana.",ANNE," [laughing] Sorry, Diana."
106,GILBERT:  [laughing] Sorry.,GILBERT, [laughing] Sorry.
107,"ANNE:  [laughing] But Gil, he fell in the brook. ",ANNE," [laughing] But Gil, he fell in the brook. "
108,"FRED WRIGHT:  Well, thank you for the lovely walk, Diana.",FRED WRIGHT," Well, thank you for the lovely walk, Diana."
109,DIANA:  Please thank you mother for the crochets.  Myra Gillis had 37 doilies when she got married and I'm determined to have at least as many as she had.,DIANA, Please thank you mother for the crochets.  Myra Gillis had 37 doilies when she got married and I'm determined to have at least as many as she had.
110,"ANNE:  I suppose it would be impossible to keep house with only 36 doilies.  But I assure you, Mr. Wright,  Diana will be the sweetest little homemaker in the world, so long as you can afford to let her keep up with the Gillis'.",ANNE," I suppose it would be impossible to keep house with only 36 doilies.  But I assure you, Mr. Wright,  Diana will be the sweetest little homemaker in the world, so long as you can afford to let her keep up with the Gillis'."
111,"FRED WRIGHT:  Well, I hope so.  Good day, ladies, Gilbert.",FRED WRIGHT," Well, I hope so.  Good day, ladies, Gilbert."
112,"GILBERT:  Well, I better go get my bicycle.  I'll talk to you ladies later.  Bye.",GILBERT," Well, I better go get my bicycle.  I'll talk to you ladies later.  Bye."
113,"DIANA:  Anne Shirley, that was--.  I've never been so humiliated in all my life.  That was the meanest--.  How could you make fun of me in public?",DIANA," Anne Shirley, that was--.  I've never been so humiliated in all my life.  That was the meanest--.  How could you make fun of me in public?"
114,"ANNE:  Diana, I wasn't making fun.  I was just teasing.  I'm sorry.",ANNE," Diana, I wasn't making fun.  I was just teasing.  I'm sorry."
115,DIANA:  You always have to be the center of attention whenever Gilbert Blythe is in anyone's company.,DIANA, You always have to be the center of attention whenever Gilbert Blythe is in anyone's company.
116,"ANNE:  That's not true.  Please, forgive me Diana.  I didn't mean to pick a quarrel.  Why couldn't you have told me about you and Fred yourself?  I feel like I lost my best friend.",ANNE," That's not true.  Please, forgive me Diana.  I didn't mean to pick a quarrel.  Why couldn't you have told me about you and Fred yourself?  I feel like I lost my best friend."
117,"DIANA:  You were so busy writing your book and marking exam papers.  It just happened.  Then he asked.  I'm really happy.  But it does seem ridiculous to think of me being engaged to Fred, doesn't it?  I don't care what he looks like; he's got a good heart.  He's so thoughtful. We'll probably make a pudgy old couple some day.  But it doesn't matter.",DIANA," You were so busy writing your book and marking exam papers.  It just happened.  Then he asked.  I'm really happy.  But it does seem ridiculous to think of me being engaged to Fred, doesn't it?  I don't care what he looks like; he's got a good heart.  He's so thoughtful. We'll probably make a pudgy old couple some day.  But it doesn't matter."
118,"ANNE:  I am glad for you, Diana.",ANNE," I am glad for you, Diana."
119,DIANA:  Don't you ever mean to get married?,DIANA, Don't you ever mean to get married?
120,ANNE:  Perhaps.  If I meet the right one.,ANNE, Perhaps.  If I meet the right one.
121,DIANA:  What about Gilbert?,DIANA, What about Gilbert?
122,"ANNE:  Gilbert's just a chum.  I don't care for him that way.  You know what my ideal is, Diana.",ANNE," Gilbert's just a chum.  I don't care for him that way.  You know what my ideal is, Diana."
123,"DIANA:  Tall, irresistibly handsome, proud, and melancholy.  But people's ideals change sometimes.",DIANA," Tall, irresistibly handsome, proud, and melancholy.  But people's ideals change sometimes."
124,ANNE:  Mine wouldn't.  And I wouldn't care for any man who didn't fulfill them.,ANNE, Mine wouldn't.  And I wouldn't care for any man who didn't fulfill them.
125,DIANA:  What if you never meet him?,DIANA, What if you never meet him?
126,ANNE:  Then I shall die an old maid.,ANNE, Then I shall die an old maid.
127,DIANA:  I suppose you're right to be discriminating.  Half the men across the country will be courting you when your story's published.  You're going to be famous and I'll be so proud.  What is it?,DIANA, I suppose you're right to be discriminating.  Half the men across the country will be courting you when your story's published.  You're going to be famous and I'll be so proud.  What is it?
128,ANNE: Women's Home Journal sent it back.,ANNE,Women's Home Journal sent it back.
129,DIANA:  What?  The editor must be crazy!  What reason did he give?,DIANA, What?  The editor must be crazy!  What reason did he give?
130,ANNE:  No reason at all.  Just a printed slip saying it wasn't acceptable.,ANNE, No reason at all.  Just a printed slip saying it wasn't acceptable.
131,DIANA:  That's ridiculous.  He mustn't have read it.  I'm going to cancel my subscription immediately.,DIANA, That's ridiculous.  He mustn't have read it.  I'm going to cancel my subscription immediately.
132,"ANNE: Averil's Atonement.  It sounded so inspiring and romantic.  If you can tell me truthfully, Diana, if you can recall any major faults in my story?",ANNE,"Averil's Atonement.  It sounded so inspiring and romantic.  If you can tell me truthfully, Diana, if you can recall any major faults in my story?"
133,"DIANA:  Well, the part where Averil makes the cake.  It doesn't--.  It doesn't seem to match the rest of the story.",DIANA," Well, the part where Averil makes the cake.  It doesn't--.  It doesn't seem to match the rest of the story."
134,"ANNE:  But, that's one of the most romantic parts in the whole story!  It's a well known fact that great ladies of old believed that the culinary arts also fed the soul.",ANNE," But, that's one of the most romantic parts in the whole story!  It's a well known fact that great ladies of old believed that the culinary arts also fed the soul."
135,"DIANA:  Well, I'll have to read it again to remember what my first opinion was.  If you let me keep it, maybe I can suggest some changes.",DIANA," Well, I'll have to read it again to remember what my first opinion was.  If you let me keep it, maybe I can suggest some changes."
136,"ANNE:  You don't know how discouraging it is to get a rejection, Diana.  And right when I'm in the midst of writing a new epic: Rosaline's Revenge.  It certainly takes the bloom off the rose.",ANNE," You don't know how discouraging it is to get a rejection, Diana.  And right when I'm in the midst of writing a new epic: Rosaline's Revenge.  It certainly takes the bloom off the rose."
137,"DIANA:  Don't be discouraged, Anne.",DIANA," Don't be discouraged, Anne."
138,"RACHEL:  Anne Shirley!  I'm not going to put up with this a day longer.  I warned Marilla not to let it happen again.  Well, it has.  Patience has ceased to be a virtue.  I want this rumpus stopped right now.",RACHEL," Anne Shirley!  I'm not going to put up with this a day longer.  I warned Marilla not to let it happen again.  Well, it has.  Patience has ceased to be a virtue.  I want this rumpus stopped right now."
139,ANNE:  Would you just calm down and tell me what the trouble is.,ANNE, Would you just calm down and tell me what the trouble is.
140,"RACHEL:  Calm down?  First it was our potatoes.  Then my June lilies, which Thomas planted on our twenty-fifth wedding anniversary.  Now this darn jersey cow's devoured almost all my prize-winning cabbages.  And if Tillie Boulter walks away with the red ribbon at the Charlottetown exhibition, you can let Marilla know I am holding her financially responsible.",RACHEL," Calm down?  First it was our potatoes.  Then my June lilies, which Thomas planted on our twenty-fifth wedding anniversary.  Now this darn jersey cow's devoured almost all my prize-winning cabbages.  And if Tillie Boulter walks away with the red ribbon at the Charlottetown exhibition, you can let Marilla know I am holding her financially responsible."
141,"ANNE:  I'm sorry, Mrs. Lynde, because Dolly is my cow, not Marilla's.  Matthew bought her for me two years ago as a calf from Mr. Bell.",ANNE," I'm sorry, Mrs. Lynde, because Dolly is my cow, not Marilla's.  Matthew bought her for me two years ago as a calf from Mr. Bell."
142,"RACHEL:  Sorry?  Well, sorry is not going to help the habit this cow has made trampling through my cabbages. And if you think--",RACHEL," Sorry?  Well, sorry is not going to help the habit this cow has made trampling through my cabbages. And if you think--"
143,"ANNE:  I am sorry, but the fence that separates your potato field from our pasture is an eyesore.  And if you'd kept it in better repair, Dolly wouldn't have broken in.",ANNE," I am sorry, but the fence that separates your potato field from our pasture is an eyesore.  And if you'd kept it in better repair, Dolly wouldn't have broken in."
144,"RACHEL:  A jail fence wouldn't keep that devil out.  And what's more, my Thomas has been far too ill the past six months to repair any fences.  And I know one thing,  you red-headed snippet!  You'd be better employed fixing that fence yourself rather than mooning around, wasting your time, writing  for some rubbishy magazine.",RACHEL," A jail fence wouldn't keep that devil out.  And what's more, my Thomas has been far too ill the past six months to repair any fences.  And I know one thing,  you red-headed snippet!  You'd be better employed fixing that fence yourself rather than mooning around, wasting your time, writing  for some rubbishy magazine."
145,"ANNE:  I would rather spend my time profitably than squander it in idle gossip, meddling in other people's affairs.  I won't cherish any hard feelings against you because of your narrow-minded opinions.  But, thank goodness I have an imagination which allows me to understand how it must be to find a cow amongst prize-winning cabbages.  Dolly shall never break into your field again.  I give you my word of honor on that point.",ANNE," I would rather spend my time profitably than squander it in idle gossip, meddling in other people's affairs.  I won't cherish any hard feelings against you because of your narrow-minded opinions.  But, thank goodness I have an imagination which allows me to understand how it must be to find a cow amongst prize-winning cabbages.  Dolly shall never break into your field again.  I give you my word of honor on that point."
146,"RACHEL:  Well, you just make sure that she doesn't!",RACHEL," Well, you just make sure that she doesn't!"
147,MARILLA:  Whoa.  Whoa.  Whoa.,MARILLA, Whoa.  Whoa.  Whoa.
148,"RACHEL:  Well, Marilla, I hope that canal horse destroys your tomato patch next.  And don't expect any sympathy from your girl.  I've always warned you she had a temper to match her hair.",RACHEL," Well, Marilla, I hope that canal horse destroys your tomato patch next.  And don't expect any sympathy from your girl.  I've always warned you she had a temper to match her hair."
149,"MARILLA:  Oh, good Lord.",MARILLA," Oh, good Lord."
150,        SCENE:  Cuthbert yard,        SCENE, Cuthbert yard
151,DIANA:  She can't possibly get out now unless she tears the fence down.  I never realized Mrs. Lynde was such a crank.,DIANA, She can't possibly get out now unless she tears the fence down.  I never realized Mrs. Lynde was such a crank.
152,ANNE:  There's certainly nothing of a kindred spirit in her.,ANNE, There's certainly nothing of a kindred spirit in her.
153,        SCENE:  Cuthbert porch,        SCENE, Cuthbert porch
154,MARILLA:  You set your heart too much on frivolous things and then crash down into despair when you don't get them.,MARILLA, You set your heart too much on frivolous things and then crash down into despair when you don't get them.
155,ANNE:  I know.  I can't help flying up on the wings of anticipation.  It's as glorious as soaring through a sunset.  It almost pays for the thud.,ANNE, I know.  I can't help flying up on the wings of anticipation.  It's as glorious as soaring through a sunset.  It almost pays for the thud.
156,"MARILLA:  Well, maybe it does.  But I'd rather walk calmly along and do without both flying and thud.",MARILLA," Well, maybe it does.  But I'd rather walk calmly along and do without both flying and thud."
157,ANNE:  Martin.  He's forgotten the cows on Orchard Slope.,ANNE, Martin.  He's forgotten the cows on Orchard Slope.
158,        SCENE:  Cuthbert fields,        SCENE, Cuthbert fields
159,"ANNE:  I was as polite as I could be, under the circumstances, Marilla.  And I apologized, despite her stinging personal remarks.",ANNE," I was as polite as I could be, under the circumstances, Marilla.  And I apologized, despite her stinging personal remarks."
160,"MARILLA:  Rachel specializes in getting under people's skin, I know.  But you ought to have bit your tongue, Anne, seeing as we were in the wrong.",MARILLA," Rachel specializes in getting under people's skin, I know.  But you ought to have bit your tongue, Anne, seeing as we were in the wrong."
161,"ANNE:  No, I ought to have sold Dolly to Gilbert's father a month ago when he wanted to buy her.  I thought it was just as well to wait until the auction and let all the stock go together.  Martin!  There are two more cows! ",ANNE," No, I ought to have sold Dolly to Gilbert's father a month ago when he wanted to buy her.  I thought it was just as well to wait until the auction and let all the stock go together.  Martin!  There are two more cows! "
162,"MARILLA:  Rachel will get over this.  Her nerves have been raw lately, and deservedly so.  Thomas is pretty bad, and Dr. Spencer says that he won't be with us for very long.",MARILLA," Rachel will get over this.  Her nerves have been raw lately, and deservedly so.  Thomas is pretty bad, and Dr. Spencer says that he won't be with us for very long."
163,"ANNE:  I hope she doesn't have to sell her farm.  That'd be a terrible loss.  I mean, I know how we felt when Matthew died.",ANNE," I hope she doesn't have to sell her farm.  That'd be a terrible loss.  I mean, I know how we felt when Matthew died."
164,"MARILLA:  Anne, I wanted to talk to you about something for a while.  I know you've been content enough here, but I never feel at ease thinking about how you've given up so much of your own opportunity.",MARILLA," Anne, I wanted to talk to you about something for a while.  I know you've been content enough here, but I never feel at ease thinking about how you've given up so much of your own opportunity."
165,"ANNE:  Marilla, I couldn't leave you alone here.  Besides, I'd probably make a much better teacher than a writer, any day.",ANNE," Marilla, I couldn't leave you alone here.  Besides, I'd probably make a much better teacher than a writer, any day."
166,"MARILLA:  Anne, you have been my comfort and joy since Matthew passed away.  But I promised myself that when you gave up the Avery scholarship to stay home, I'd make it up to you one day.",MARILLA," Anne, you have been my comfort and joy since Matthew passed away.  But I promised myself that when you gave up the Avery scholarship to stay home, I'd make it up to you one day."
167,ANNE:  I've never been sorry I stayed for a moment.,ANNE, I've never been sorry I stayed for a moment.
168,"MARILLA:  Mr. Barry has really taken over the farm almost completely.  And my eyesight is so much better now, I can manage with Martin.  Perhaps one of the Piccard girls over in Rustico could board with me for a while so you could dust off some of your ambitions if you like.  What do you think about that?",MARILLA," Mr. Barry has really taken over the farm almost completely.  And my eyesight is so much better now, I can manage with Martin.  Perhaps one of the Piccard girls over in Rustico could board with me for a while so you could dust off some of your ambitions if you like.  What do you think about that?"
169,"ANNE:  Oh, Marilla,  I feel as though someone's handed me the moon and I don't exactly know what to do with it.",ANNE," Oh, Marilla,  I feel as though someone's handed me the moon and I don't exactly know what to do with it."
170,"MARILLA:  Matthew and I spent forty years looking after papa.  Perhaps I never mentioned it before, but I can't help but confess it was with a regretful heart at times.",MARILLA," Matthew and I spent forty years looking after papa.  Perhaps I never mentioned it before, but I can't help but confess it was with a regretful heart at times."
171,"ANNE:  You had a little bit of romance in your own life, Marilla.",ANNE," You had a little bit of romance in your own life, Marilla."
172,"MARILLA:  You wouldn't think it to look at me, would you?  But you can never tell about people by their outsides.",MARILLA," You wouldn't think it to look at me, would you?  But you can never tell about people by their outsides."
173,ANNE:  Do you suppose that Mr. Blythe remembers that he was your beau?,ANNE, Do you suppose that Mr. Blythe remembers that he was your beau?
