,raw,char,line
119,"ANNE: I suppose you're Mr. Matthew Cuthbert.  My name is Anne Shirley.  Anne is spelled with an ""e.""  I was beginning to be afraid you weren't coming for me today, so I made up my mind to climb up that big, wild cherry tree and wait for you till morning.  It would be lovely to sleep in a cherry tree all silvery in the moonshine, don't you think?",ANNE,"I suppose you're Mr. Matthew Cuthbert.  My name is Anne Shirley.  Anne is spelled with an ""e.""  I was beginning to be afraid you weren't coming for me today, so I made up my mind to climb up that big, wild cherry tree and wait for you till morning.  It would be lovely to sleep in a cherry tree all silvery in the moonshine, don't you think?"
120,"MATTHEW: Oh, yes it would.  I mean, no.  I mean, there's been a big mistake.",MATTHEW,"Oh, yes it would.  I mean, no.  I mean, there's been a big mistake."
121,"ANNE: Oh, no, there's no mistake; not if you're Mr. Matthew Cuthbert.  You are Mr. Matthew Cuthbert, aren't you?  Mrs. Spencer told me to wait right here for you, and so I've done, most pleasantly I must say.  Oh, this is beautiful country you have here, Mr. Cuthbert.",ANNE,"Oh, no, there's no mistake; not if you're Mr. Matthew Cuthbert.  You are Mr. Matthew Cuthbert, aren't you?  Mrs. Spencer told me to wait right here for you, and so I've done, most pleasantly I must say.  Oh, this is beautiful country you have here, Mr. Cuthbert."
122,MATTHEW: I'm sorry I was late.,MATTHEW,I'm sorry I was late.
123,"ANNE: No, no, that's fine, thank you.  It's very light and thin, like me.  I better hold on to my bag.  If it isn't carried in a certain way, the handle falls off.  I mastered the trick of it on my journey.  It's a very old carpet bag.  Not at all the sort of luggage I imagine the Lady of Shallott would travel with, but of course hers would be suited to a horse-drawn pavilion and not a train.  Oh, I'm very glad you've come, even if it would have been nice to sleep in a wild cherry tree.  We've got a long piece to drive yet, haven't we.  Oh, I'm glad, because I love driving.  It seems so wonderful that I'm gonna live with you and belong to you.  I've never really belonged to anyone before, and the asylum was the worst place I've lived in yet.  Mrs. Spencer said it was wicked of me to talk like that, but I don't mean to be wicked.  It's just so easy to be wicked without knowing it, isn't it?  Am I talking too much?  Oh, people are always telling me I do, and I can stop if I make up my mind to do it.",ANNE,"No, no, that's fine, thank you.  It's very light and thin, like me.  I better hold on to my bag.  If it isn't carried in a certain way, the handle falls off.  I mastered the trick of it on my journey.  It's a very old carpet bag.  Not at all the sort of luggage I imagine the Lady of Shallott would travel with, but of course hers would be suited to a horse-drawn pavilion and not a train.  Oh, I'm very glad you've come, even if it would have been nice to sleep in a wild cherry tree.  We've got a long piece to drive yet, haven't we.  Oh, I'm glad, because I love driving.  It seems so wonderful that I'm gonna live with you and belong to you.  I've never really belonged to anyone before, and the asylum was the worst place I've lived in yet.  Mrs. Spencer said it was wicked of me to talk like that, but I don't mean to be wicked.  It's just so easy to be wicked without knowing it, isn't it?  Am I talking too much?  Oh, people are always telling me I do, and I can stop if I make up my mind to do it."
124,MATTHEW: You can talk all you like.  I don't mind.,MATTHEW,You can talk all you like.  I don't mind.
125,"ANNE: Oh, I know you and I are going to get along just fine, Mr. Cuthbert.  I love this place already.  I always heard that Prince Edward Island was the most beautiful place in Canada, and I used to imagine I was living here.   This is the first dream that has ever come true for me.  It's always been one of my dreams to live by the sea.  These red roads are so peculiar.  When we got into the train at Charlottetown and the red roads began to flash past, I asked Mrs. Spencer what made them red, and she said she didn't know and pity's sake not to ask her anymore questions.  Dreams don't often come true, do they Mr. Cuthbert?  Just now, I feel pretty nearly perfectly happy.  I can't feel exactly perfectly happy because, what color would you call this?",ANNE,"Oh, I know you and I are going to get along just fine, Mr. Cuthbert.  I love this place already.  I always heard that Prince Edward Island was the most beautiful place in Canada, and I used to imagine I was living here.   This is the first dream that has ever come true for me.  It's always been one of my dreams to live by the sea.  These red roads are so peculiar.  When we got into the train at Charlottetown and the red roads began to flash past, I asked Mrs. Spencer what made them red, and she said she didn't know and pity's sake not to ask her anymore questions.  Dreams don't often come true, do they Mr. Cuthbert?  Just now, I feel pretty nearly perfectly happy.  I can't feel exactly perfectly happy because, what color would you call this?"
126,MATTHEW: Red?,MATTHEW,Red?
127,"ANNE:  Red.  That's why I can't ever be perfectly happy.  I know I'm skinny and a little freckled and my eyes are green.  I can imagine I have a beautiful rose-leaf complexion and lovely, starry violet eyes, but I cannot imagine my red hair away.   It'll be my life-long sorrow.  I read of a girl in a novel once who was divinely beautiful.  Have you ever imagined what it must be like to be divinely beautiful?  Oh, I have often.  Which would you rather be?  Divinely beautiful, or dazzlingly clever, or angelically good?",ANNE," Red.  That's why I can't ever be perfectly happy.  I know I'm skinny and a little freckled and my eyes are green.  I can imagine I have a beautiful rose-leaf complexion and lovely, starry violet eyes, but I cannot imagine my red hair away.   It'll be my life-long sorrow.  I read of a girl in a novel once who was divinely beautiful.  Have you ever imagined what it must be like to be divinely beautiful?  Oh, I have often.  Which would you rather be?  Divinely beautiful, or dazzlingly clever, or angelically good?"
128,"MATTHEW: Well, I don't know.",MATTHEW,"Well, I don't know."
129,"ANNE: Neither do I.  I know I'll never be angelically good; Mrs. Spencer says I talk so much that...  Mr. Cuthbert.  Mr. Cuthbert, what is this place called?",ANNE,"Neither do I.  I know I'll never be angelically good; Mrs. Spencer says I talk so much that...  Mr. Cuthbert.  Mr. Cuthbert, what is this place called?"
130,"MATTHEW: The Avenue.  Pretty, ain't it?",MATTHEW,"The Avenue.  Pretty, ain't it?"
131,"ANNE: Pretty doesn't seem the right word to use.  Nor beautiful either; it don't go far enough.  It is wonderful.  Wonderful.  They shouldn't call this lovely place, ""The Avenue""!  There's no meaning in a name like that.  They should call it, ""White Way of Delight.""  It's far more glorious than I could ever have imagined.",ANNE,"Pretty doesn't seem the right word to use.  Nor beautiful either; it don't go far enough.  It is wonderful.  Wonderful.  They shouldn't call this lovely place, ""The Avenue""!  There's no meaning in a name like that.  They should call it, ""White Way of Delight.""  It's far more glorious than I could ever have imagined."
132,MATTHEW: That's Barry's pond.,MATTHEW,That's Barry's pond.
133,"ANNE: Oh, no.  This is the Lake of Shining Waters.  That's its rightful name.  Do things like this ever give you a thrill, Mr. Cuthbert?",ANNE,"Oh, no.  This is the Lake of Shining Waters.  That's its rightful name.  Do things like this ever give you a thrill, Mr. Cuthbert?"
134,"MATTHEW: Well, picking up them ugly white grubs in the cucumber bed.",MATTHEW,"Well, picking up them ugly white grubs in the cucumber bed."
135,"ANNE: Yes, I can see how that could be very thrilling.",ANNE,"Yes, I can see how that could be very thrilling."
136,"MATTHEW: Woap.  Green Gables, yonder.",MATTHEW,"Woap.  Green Gables, yonder."
137,ANNE: I've pinched myself so many times today to make sure that this was real.  But it is real and we're nearly home.,ANNE,I've pinched myself so many times today to make sure that this was real.  But it is real and we're nearly home.
138,MATTHEW: Gid'yup!,MATTHEW,Gid'yup!
139,SCENE: The Cuthbert house.,SCENE,The Cuthbert house.
140,ANNE: I'm overwhelmed.,ANNE,I'm overwhelmed.
141,"MARILLA: Matthew Cuthbert, who is that?",MARILLA,"Matthew Cuthbert, who is that?"
142,MATTHEW: It's a girl.,MATTHEW,It's a girl.
143,MARILLA: I can see that.  Where's the boy?,MARILLA,I can see that.  Where's the boy?
144,MATTHEW: There weren't any.  Just her.  I figured we just couldn't leave her no matter what the mistake was.,MATTHEW,There weren't any.  Just her.  I figured we just couldn't leave her no matter what the mistake was.
145,"MARILLA: You figured?   Oh, this is a fine kettle of fish.  This is what comes of sending word, instead of going ourselves, Matthew.",MARILLA,"You figured?   Oh, this is a fine kettle of fish.  This is what comes of sending word, instead of going ourselves, Matthew."
146,ANNE:  You don't want me?  You don't want me because I'm not a boy?  Nobody ever did want me.  I might have known this was all too beautiful to be true.,ANNE, You don't want me?  You don't want me because I'm not a boy?  Nobody ever did want me.  I might have known this was all too beautiful to be true.
147,"MARILLA: Come, come, now.  Don't cry.  It is not your fault.",MARILLA,"Come, come, now.  Don't cry.  It is not your fault."
148,ANNE: This is just the most tragical thing that has ever happened to me.,ANNE,This is just the most tragical thing that has ever happened to me.
149,"MARILLA: Well, what's your name?",MARILLA,"Well, what's your name?"
150,ANNE:   Would you please call me Cordelia?,ANNE,  Would you please call me Cordelia?
151,MARILLA: Call you Cordelia? ,MARILLA,Call you Cordelia? 
152,ANNE: Don't you think it's a pretty name?,ANNE,Don't you think it's a pretty name?
153,MARILLA: Is that your name?,MARILLA,Is that your name?
154,"ANNE: Well, no, it's not exactly my name, though I would love to be called Cordelia.",ANNE,"Well, no, it's not exactly my name, though I would love to be called Cordelia."
155,MARILLA: I don't understand what you mean.,MARILLA,I don't understand what you mean.
156,ANNE: Cordelia is a perfectly elegant name.,ANNE,Cordelia is a perfectly elegant name.
157,"MARILLA: What is your name child, and no more nonsense?",MARILLA,"What is your name child, and no more nonsense?"
158,"ANNE: Anne Shirley.     Plain, old, unromantic Anne Shirley.",ANNE,"Anne Shirley.     Plain, old, unromantic Anne Shirley."
159,"MARILLA: Anne Shirley is a fine and sensible name, and hardly one to be ashamed of.",MARILLA,"Anne Shirley is a fine and sensible name, and hardly one to be ashamed of."
160,"ANNE: Oh, I'm not ashamed, but if you are going to call me Anne, would you please be sure to spell it with an ""e"". ",ANNE,"Oh, I'm not ashamed, but if you are going to call me Anne, would you please be sure to spell it with an ""e"". "
161,MARILLA: What difference does it make how it is spelled?,MARILLA,What difference does it make how it is spelled?
162,"ANNE: It makes a lot of difference.   Print out ""A-n-n"" and it looks absolutely dreadful, but Anne with an ""e"" is quite distinguished.  So if you'll only call me Anne with an ""e"", I'll try and reconcile myself to not being called Cordelia.",ANNE,"It makes a lot of difference.   Print out ""A-n-n"" and it looks absolutely dreadful, but Anne with an ""e"" is quite distinguished.  So if you'll only call me Anne with an ""e"", I'll try and reconcile myself to not being called Cordelia."
163,"MARILLA: Very well then, Anne, with an ""e"", how is it that you happened to be brought and not a boy?",MARILLA,"Very well then, Anne, with an ""e"", how is it that you happened to be brought and not a boy?"
164,"ANNE: If I were very beautiful and had nut-brown hair, would you keep me?",ANNE,"If I were very beautiful and had nut-brown hair, would you keep me?"
