,raw,char,line
44,"DIANA: Oh, Anne, don’t try and rewrite the past.  Now, I want you to forget your troubles.  You’ll be very comfortable living with us.  Aunt Josephine’s money has left me without a care in the world.",DIANA,"Oh, Anne, don’t try and rewrite the past.  Now, I want you to forget your troubles.  You’ll be very comfortable living with us.  Aunt Josephine’s money has left me without a care in the world."
45,     SCENE: The Wright house,     SCENE,The Wright house
46,"DIANA: Fred’s the youngest manager in the history of the bank.  Isn’t that right, darling?",DIANA,"Fred’s the youngest manager in the history of the bank.  Isn’t that right, darling?"
47,FRED: Mm-hmm.,FRED,Mm-hmm.
48,"DIANA: Why, the inheritance hasn’t hurt his career either, to be sure.",DIANA,"Why, the inheritance hasn’t hurt his career either, to be sure."
49,FRED: If you call doing nothing a career.,FRED,If you call doing nothing a career.
50,"DIANA: You manage our business affairs brilliantly, darling.",DIANA,"You manage our business affairs brilliantly, darling."
51,"FRED: No, I just mind my own business.",FRED,"No, I just mind my own business."
52,"DIANA: Fred’s so modest.  He’s turned out to be a wonderful father and a good husband, Anne.  Sarah!",DIANA,"Fred’s so modest.  He’s turned out to be a wonderful father and a good husband, Anne.  Sarah!"
53,"DIANA’S MAID: Yes, ma’am?",DIANA’S MAID,"Yes, ma’am?"
54,DIANA: Please take the children upstairs now.  Come give mommy a kiss goodnight.,DIANA,Please take the children upstairs now.  Come give mommy a kiss goodnight.
55,"FRED JR: Goodnight, Mom.",FRED JR,"Goodnight, Mom."
56,ANNE: Goodnight.,ANNE,Goodnight.
57,"DIANA: Goodnight, sweetheart.",DIANA,"Goodnight, sweetheart."
58,"DIANA’S MAID: Come along, then.",DIANA’S MAID,"Come along, then."
59,DIANA: They do so prefer their father.,DIANA,They do so prefer their father.
60,ANNE: It’s such a delicious evening.  Let’s have our tea in the garden.,ANNE,It’s such a delicious evening.  Let’s have our tea in the garden.
61,"DIANA: This house is so conducive to writing.  If you stay for the summer, just think what fabulous ideas you’d compose.",DIANA,"This house is so conducive to writing.  If you stay for the summer, just think what fabulous ideas you’d compose."
62,"ANNE: That’s a big if.  Diana, I don’t feel right intruding on your family.  What’s the matter?",ANNE,"That’s a big if.  Diana, I don’t feel right intruding on your family.  What’s the matter?"
63,"DIANA: We have everything, but he doesn’t even kiss me goodnight anymore.",DIANA,"We have everything, but he doesn’t even kiss me goodnight anymore."
64,"ANNE: I’m sorry.  Well, haven’t you tried speaking about it?",ANNE,"I’m sorry.  Well, haven’t you tried speaking about it?"
65,"DIANA: [shakes her head no] Fred was never a big conversationalist, even when we first got married.  It’s a different kind of silence now, though. He’s so preoccupied with the war.  That’s the thing about staying engageDIANA: you and Gil never change.",DIANA,"[shakes her head no] Fred was never a big conversationalist, even when we first got married.  It’s a different kind of silence now, though. He’s so preoccupied with the war.  That’s the thing about staying engageDIANA: you and Gil never change."
66,ANNE: That’s probably because we never see each other.,ANNE,That’s probably because we never see each other.
67,"DIANA: If you put off your wedding any longer, you’re going to be an old maid, Anne.",DIANA,"If you put off your wedding any longer, you’re going to be an old maid, Anne."
68,"ANNE: Actually, when Gil finishes his term at Bellevue Hospital in August--",ANNE,"Actually, when Gil finishes his term at Bellevue Hospital in August--"
69,DIANA: August?  How dare you deny me the pleasure of planning your wedding!,DIANA,August?  How dare you deny me the pleasure of planning your wedding!
70,ANNE: Let me finish. I didn’t say we’re getting married in August.  We’re going to choose a date.,ANNE,Let me finish. I didn’t say we’re getting married in August.  We’re going to choose a date.
71,"DIANA: Oh, Anne, don’t be coy!  Oh.  You can move back right away.  Anne, life is going to be just the way it was when we were girls.  Sarah!",DIANA,"Oh, Anne, don’t be coy!  Oh.  You can move back right away.  Anne, life is going to be just the way it was when we were girls.  Sarah!"
72,ANNE: Wait.  Shouldn’t we consult… Gilbert? ,ANNE,Wait.  Shouldn’t we consult… Gilbert? 
73,DIANA: [ignoring her] Sarah!  Anne and Gil Blythe are getting married!  And it’s not going to be some shoddy affair.  ,DIANA,[ignoring her] Sarah!  Anne and Gil Blythe are getting married!  And it’s not going to be some shoddy affair.  
74,ANNE: Diana--,ANNE,Diana--
75,"DIANA: I’ll help, and Fred will help too.  Oh, oh!  Please, let him.  It’ll be a project for the three of us.",DIANA,"I’ll help, and Fred will help too.  Oh, oh!  Please, let him.  It’ll be a project for the three of us."
76,ANNE: Just one thing at a time.  We need to slow down and consult Gilbert too.,ANNE,Just one thing at a time.  We need to slow down and consult Gilbert too.
77,"DIANA: No, you let me talk to Gil.  We can start by sending him a telegram.",DIANA,"No, you let me talk to Gil.  We can start by sending him a telegram."
78,"ANNE: No, I--",ANNE,"No, I--"
79,     SCENE: Beach,     SCENE,Beach
80,"ANNE: [to herself] Oh, how I’ve missed you all summer, Gil.  With perfect memories of days passed.",ANNE,"[to herself] Oh, how I’ve missed you all summer, Gil.  With perfect memories of days passed."
81,"DIANA: [to Alan, in car] That’ll be fine.",DIANA,"[to Alan, in car] That’ll be fine."
82,GILBERT: [seeing Anne on beach] There.,GILBERT,[seeing Anne on beach] There.
83,"ANNE: [writing] And memory of perfect summer days of old.  Our past, our friends-- [she stops, seeing Gil, she squeals, runs to him, and trips in the sand, falling down; she laughs]",ANNE,"[writing] And memory of perfect summer days of old.  Our past, our friends-- [she stops, seeing Gil, she squeals, runs to him, and trips in the sand, falling down; she laughs]"
84,"GILBERT: Are you alright?  Nothing’s broken or bent, I hope.",GILBERT,"Are you alright?  Nothing’s broken or bent, I hope."
85,"ANNE: [laughing] Only my pride.  Oh, Gil, help me up.  I’m truly blind and a fool to boot.   Oh, if I were blind, I should never forget the contours of your face.  Why didn’t you let me know.",ANNE,"[laughing] Only my pride.  Oh, Gil, help me up.  I’m truly blind and a fool to boot.   Oh, if I were blind, I should never forget the contours of your face.  Why didn’t you let me know."
86,GILBERT: I wanted to see you face to face.  I have something to ask you.,GILBERT,I wanted to see you face to face.  I have something to ask you.
87,ANNE: I do! [she kisses him],ANNE,I do! [she kisses him]
88,GILBERT: Let’s go take a walk down the lane.,GILBERT,Let’s go take a walk down the lane.
89,     SCENE: Lover’s Lane,     SCENE,Lover’s Lane
90,"ANNE: If Diana has her way, we’ll be married by the end of the week.",ANNE,"If Diana has her way, we’ll be married by the end of the week."
91,"GILBERT: We’ve been engaged so long, I figure people around here think we got married years ago.",GILBERT,"We’ve been engaged so long, I figure people around here think we got married years ago."
92,ANNE: Yeah.  What were you going to ask me?,ANNE,Yeah.  What were you going to ask me?
93,GILBERT: I have a decision to make.  It may turn our plans upside-down. ,GILBERT,I have a decision to make.  It may turn our plans upside-down. 
94,ANNE: What?,ANNE,What?
95,GILBERT: Bellevue Hospital has asked me to remain on staff for the year.,GILBERT,Bellevue Hospital has asked me to remain on staff for the year.
96,ANNE: [walking away] But we agreed.,ANNE,[walking away] But we agreed.
97,"GILBERT: Yeah, Anne, I realize that.  But this is a remarkable opportunity.  I know you’ve resisted coming to New York in the past.",GILBERT,"Yeah, Anne, I realize that.  But this is a remarkable opportunity.  I know you’ve resisted coming to New York in the past."
98,ANNE: You’re asking me to go with you?,ANNE,You’re asking me to go with you?
99,GILBERT: I couldn’t bear another year without you.,GILBERT,I couldn’t bear another year without you.
100,"ANNE: I want to be with you too, Gil.",ANNE,"I want to be with you too, Gil."
101,"GILBERT: Then come with me, right now.  And we’ll go immediately.",GILBERT,"Then come with me, right now.  And we’ll go immediately."
102,"ANNE:  I--. I couldn’t be happy living anywhere else but here.  This is where I want to be.  So many memories locked up here. I can’t leave it.  [looking at Green Gables]  I wish I could have done something.   This place is in both our souls, Gil.  I wish we could grow old together here.",ANNE," I--. I couldn’t be happy living anywhere else but here.  This is where I want to be.  So many memories locked up here. I can’t leave it.  [looking at Green Gables]  I wish I could have done something.   This place is in both our souls, Gil.  I wish we could grow old together here."
103,"GILBERT: Come on, we’ve still got a few years ahead of us.",GILBERT,"Come on, we’ve still got a few years ahead of us."
104,ANNE: I’ll go.,ANNE,I’ll go.
105,GILBERT: What?,GILBERT,What?
106,"ANNE: To New York, I’ll go.  Just to see if I like it first.  But promise we’ll come back to raise our family.",ANNE,"To New York, I’ll go.  Just to see if I like it first.  But promise we’ll come back to raise our family."
107,GILBERT: I promise.,GILBERT,I promise.
108,ANNE: New York is an exciting place for a writer.,ANNE,New York is an exciting place for a writer.
109,GILBERT: All the best publishing houses in the world are there.  Are you sure?,GILBERT,All the best publishing houses in the world are there.  Are you sure?
110,ANNE:  I’m only sure of one thing: that I’m scandalously in love with you.  [they kiss]  ,ANNE, I’m only sure of one thing: that I’m scandalously in love with you.  [they kiss]  
111,"GILBERT: Come on, we better tell Diana and Fred before they start sending off all the invitations.",GILBERT,"Come on, we better tell Diana and Fred before they start sending off all the invitations."
112,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- Next,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- Next,
0,Script: Part 2,Script,Part 2
1,SCENE: New York,SCENE,New York
2,"GILBERT: Well, this is it: Winfield Publishing. Don’t be nervous; you’ll be fine.",GILBERT,"Well, this is it: Winfield Publishing. Don’t be nervous; you’ll be fine."
3,"ANNE:   It’s unbearable to have insignificance ingrained into your very soul.  No, Mr. Winfield is likely to reject my manuscript just like every other publisher I’ve been to this week.",ANNE,"  It’s unbearable to have insignificance ingrained into your very soul.  No, Mr. Winfield is likely to reject my manuscript just like every other publisher I’ve been to this week."
4,"GILBERT: This is a much smaller company, and I doubt that he brought you in for a meeting just to say no.  [seeing Dr. Powell] ‘Morning, sir.",GILBERT,"This is a much smaller company, and I doubt that he brought you in for a meeting just to say no.  [seeing Dr. Powell] ‘Morning, sir."
5,"ANNE:  I’ve made up my mind to go to my grave unwept, unhonored, and unsung.  ",ANNE," I’ve made up my mind to go to my grave unwept, unhonored, and unsung.  "
6,"GILBERT: But not unpublished.  I’d like you to meet my fiancée, Anne Shirley.  This is Dr. Powell.",GILBERT,"But not unpublished.  I’d like you to meet my fiancée, Anne Shirley.  This is Dr. Powell."
7,"DR. POWELL: An honor, Miss Shirley.",DR. POWELL,"An honor, Miss Shirley."
8,"ANNE: I very much appreciate the opportunity here, sir.",ANNE,"I very much appreciate the opportunity here, sir."
9,"DR. POWELL: Ah, your book is marvelous.  I’ve just seen old Winfield.  He assures me he’ll consider it.  The least I can do for the fiancée of our most important young surgeon, eh?  [Anne begins to leave] Don’t settle for anything less than 10% royalties from the old tyrant.",DR. POWELL,"Ah, your book is marvelous.  I’ve just seen old Winfield.  He assures me he’ll consider it.  The least I can do for the fiancée of our most important young surgeon, eh?  [Anne begins to leave] Don’t settle for anything less than 10% royalties from the old tyrant."
10,     SCENE: Winfield Publishers,     SCENE,Winfield Publishers
11,"ANNE: Excuse me, I have an appointment to see a Mr. Palmer Winfield.",ANNE,"Excuse me, I have an appointment to see a Mr. Palmer Winfield."
12,WINFIELD RECEPTIONIST: Name?,WINFIELD RECEPTIONIST,Name?
13,ANNE: Miss Anne Shirley.,ANNE,Miss Anne Shirley.
14,WINFIELD RECEPTIONIST: [on phone] There’s a Miss Shirley to see Mr. Winfield. [to Anne] Those stairs to the sixth.,WINFIELD RECEPTIONIST,[on phone] There’s a Miss Shirley to see Mr. Winfield. [to Anne] Those stairs to the sixth.
15,ANNE: Thank you.,ANNE,Thank you.
16,     SCENE: Mr. Winfield’s office,     SCENE,Mr. Winfield’s office
17,"MR. WINFIELD: Ah, Miss Shirley.",MR. WINFIELD,"Ah, Miss Shirley."
18,ANNE: Hello.,ANNE,Hello.
19,"MR. OWEN: Sit down, if you will.",MR. OWEN,"Sit down, if you will."
20,"ANNE: It’s a lot of stairs.  How do you do, sir?",ANNE,"It’s a lot of stairs.  How do you do, sir?"
21,"MR. WINFIELD: Oh, miserably.  Book sales are in a detestable slump. The overhead of this organization is a can of worms.  This is Mr. Owen, in charge of our fiction department.",MR. WINFIELD,"Oh, miserably.  Book sales are in a detestable slump. The overhead of this organization is a can of worms.  This is Mr. Owen, in charge of our fiction department."
22,"ANNE: Well, thank you both so much for taking the time to meet with me and--",ANNE,"Well, thank you both so much for taking the time to meet with me and--"
23,"MR. WINFIELD: Thank Dr. Powell.  He cut a tumor out of me once, thereby prolonging my unfortunate existence.  Perhaps you should get down to the short strokes, hmm, Miss Shirley?",MR. WINFIELD,"Thank Dr. Powell.  He cut a tumor out of me once, thereby prolonging my unfortunate existence.  Perhaps you should get down to the short strokes, hmm, Miss Shirley?"
24,"MR. OWEN: We’ve read the manuscript Dr. Powell submitted.  Lively and engaging, I suppose.",MR. OWEN,"We’ve read the manuscript Dr. Powell submitted.  Lively and engaging, I suppose."
25,"MR. WINFIELD: Yes, you have some promise as a writer.  But not here.  I run a business, not a charity.  ",MR. WINFIELD,"Yes, you have some promise as a writer.  But not here.  I run a business, not a charity.  "
26,"MR. OWEN: We’ve never published stories for young women.  Our specialty is adventures, detective novels, and all manner of books for a man’s man.",MR. OWEN,"We’ve never published stories for young women.  Our specialty is adventures, detective novels, and all manner of books for a man’s man."
27,"MR. WINFIELD: However, since men are not buying so many books now with the war on, we really would like to develop women’s adventures.  Wanted to for years.  We need someone to apprehend writers and stories that will appeal to women.",MR. WINFIELD,"However, since men are not buying so many books now with the war on, we really would like to develop women’s adventures.  Wanted to for years.  We need someone to apprehend writers and stories that will appeal to women."
28,"ANNE: Well, I can guarantee you: I can smell a good book before I even open the cover.",ANNE,"Well, I can guarantee you: I can smell a good book before I even open the cover."
29,"MR. WINFIELD: Yes, well Mr. Owen is prepared to train you in the position of a junior editor.",MR. WINFIELD,"Yes, well Mr. Owen is prepared to train you in the position of a junior editor."
30,"MR. OWEN: The process of finding material, however, is very subjective.",MR. OWEN,"The process of finding material, however, is very subjective."
31,"ANNE: Well, I can find writers that women will want to read.  As long as it doesn’t preclude me from submitting my own manuscripts amongst them.",ANNE,"Well, I can find writers that women will want to read.  As long as it doesn’t preclude me from submitting my own manuscripts amongst them."
32,"MR. OWEN: Well, Miss Shirley, they would have to meet our criteria.",MR. OWEN,"Well, Miss Shirley, they would have to meet our criteria."
33,ANNE: And what is that?,ANNE,And what is that?
34,MR. WINFIELD: I’ve never published anything I didn’t like.  That served me well for 40 years.,MR. WINFIELD,I’ve never published anything I didn’t like.  That served me well for 40 years.
35,"ANNE:  Well, you’ll like what I find, sir, as much as you’ll grow to have faith in me.",ANNE," Well, you’ll like what I find, sir, as much as you’ll grow to have faith in me."
36,"MR. OWEN: I’ll find a small corner for Miss Shirley to work in, sir. ",MR. OWEN,"I’ll find a small corner for Miss Shirley to work in, sir. "
37,     SCENE: Winfield Publishers main room,     SCENE,Winfield Publishers main room
38,"MR. OWEN: Come along, Miss Shirley.  There ought to be a desk under all of that somewhere.  Our research department will find you lists.  Do what you can.  My office is right there.  Miss Shirley, please.",MR. OWEN,"Come along, Miss Shirley.  There ought to be a desk under all of that somewhere.  Our research department will find you lists.  Do what you can.  My office is right there.  Miss Shirley, please."
39,"ANNE: Oh, I’m sorry.  I was just taking it all in.",ANNE,"Oh, I’m sorry.  I was just taking it all in."
40,"MR. OWEN: Well, that is a portrait of Jack Garrison, Jr., America’s top mystery raconteur.  A half million copies of his espionage novels guaranteed before he puts pen to paper.  You’ll have to find men who can write that way for women, or you’ll be wasting your time.",MR. OWEN,"Well, that is a portrait of Jack Garrison, Jr., America’s top mystery raconteur.  A half million copies of his espionage novels guaranteed before he puts pen to paper.  You’ll have to find men who can write that way for women, or you’ll be wasting your time."
41,"ANNE: Mr. Owen, I rarely waste my time.  Besides, if I thought only men can write for women, I might not find anything interesting.",ANNE,"Mr. Owen, I rarely waste my time.  Besides, if I thought only men can write for women, I might not find anything interesting."
42,"MR. OWEN: Yes, well, I should mention to you that we have never published a female author.  Ever.",MR. OWEN,"Yes, well, I should mention to you that we have never published a female author.  Ever."
43,     SCENE: Bellevue Hospital operating room,     SCENE,Bellevue Hospital operating room
44,DR. POWELL: Blast!,DR. POWELL,Blast!
45,"GILBERT: Allow me, Doctor.",GILBERT,"Allow me, Doctor."
46,"DR. POWELL: All right.  Finish up, Gil.  I want you in the board meeting in half an hour.",DR. POWELL,"All right.  Finish up, Gil.  I want you in the board meeting in half an hour."
47,     SCENE: Bellevue Hospital boardroom,     SCENE,Bellevue Hospital boardroom
48,"DR. POWELL: Certainly, I no longer have the fortitude to continue serve this institution in light of my deteriorating eyesight.  [Gil enters] Ah.  This young fellow is the foremost surgeon in his class, and I might add in the entire institution.  He’s been asked to stay on till the end of the year, but he has the talent and stamina to assume my duties as a permanent member of the administration within the month.",DR. POWELL,"Certainly, I no longer have the fortitude to continue serve this institution in light of my deteriorating eyesight.  [Gil enters] Ah.  This young fellow is the foremost surgeon in his class, and I might add in the entire institution.  He’s been asked to stay on till the end of the year, but he has the talent and stamina to assume my duties as a permanent member of the administration within the month."
49,     SCENE: Bellevue Hospital corridor,     SCENE,Bellevue Hospital corridor
50,"GILBERT: Sir, I am very flattered.  I just wish you hadn’t launched this without discussing with me first.",GILBERT,"Sir, I am very flattered.  I just wish you hadn’t launched this without discussing with me first."
51,"DR. POWELL: I needed to know where the board stood.  I can’t operate anymore, you know, lad.  The prognosis for glaucoma is abysmal.  You’ll want to rise to the occasion and follow in my footsteps.",DR. POWELL,"I needed to know where the board stood.  I can’t operate anymore, you know, lad.  The prognosis for glaucoma is abysmal.  You’ll want to rise to the occasion and follow in my footsteps."
52,MRS. TWEED: Dr. Blythe!  Dr. Blythe!  ,MRS. TWEED,Dr. Blythe!  Dr. Blythe!  
53,MR. TWEED: I don’t know if you remember my wife--,MR. TWEED,I don’t know if you remember my wife--
54,GILBERT: Of course.,GILBERT,Of course.
55,MR. TWEED: We’ve been waiting eight hours for anyone to see us.,MR. TWEED,We’ve been waiting eight hours for anyone to see us.
56,DR. POWELL: The admitting nurse should assist you.,DR. POWELL,The admitting nurse should assist you.
57,"GILBERT: Mrs. Tweed, has your baby not turned?",GILBERT,"Mrs. Tweed, has your baby not turned?"
58,MRS. TWEED: Something’s not right.,MRS. TWEED,Something’s not right.
59,"GILBERT: Come on, let’s sit down.",GILBERT,"Come on, let’s sit down."
60,"CHILD: Mom, maybe you should walk.",CHILD,"Mom, maybe you should walk."
61,GILBERT: Are you having rapid contractions?,GILBERT,Are you having rapid contractions?
62,CHILD: Are you okay?,CHILD,Are you okay?
63,"GILBERT: Mrs. Cunningham, this woman is in labor.  See that she be admitted immediately. She may require surgery.",GILBERT,"Mrs. Cunningham, this woman is in labor.  See that she be admitted immediately. She may require surgery."
64,DR. POWELL: You needn’t concern yourself with indigent cases.  Let me speak to Dr. Moore in obstetrics.,DR. POWELL,You needn’t concern yourself with indigent cases.  Let me speak to Dr. Moore in obstetrics.
65,"GILBERT: Oh, I can speak Moore.  But, sir, I am obligated to this patient, by virtue of having examined her in the clinic a week ago, at which time I requested that she be admitted into the hospital.  The delivery may be a footling breech.  If she continues in labor any longer she may lose the child.",GILBERT,"Oh, I can speak Moore.  But, sir, I am obligated to this patient, by virtue of having examined her in the clinic a week ago, at which time I requested that she be admitted into the hospital.  The delivery may be a footling breech.  If she continues in labor any longer she may lose the child."
66,"DR. POWELL: Choose where you use your scalpel.  Remember, we’ve scheduled Mrs. Hamilton this afternoon.  You just met her husband, on the board.",DR. POWELL,"Choose where you use your scalpel.  Remember, we’ve scheduled Mrs. Hamilton this afternoon.  You just met her husband, on the board."
67,GILBERT: I can’t let her condition go unsupervised.  We can reschedule Mrs. Hamilton’s gallbladder operation.  Excuse me.,GILBERT,I can’t let her condition go unsupervised.  We can reschedule Mrs. Hamilton’s gallbladder operation.  Excuse me.
68,     SCENE: Bellevue Hospital waiting room,     SCENE,Bellevue Hospital waiting room
69,ANNE: Dr. Blythe?,ANNE,Dr. Blythe?
70,"NURSE: Oh, he can’t be disturbed.  Please, take a seat in the waiting area, ma’am.",NURSE,"Oh, he can’t be disturbed.  Please, take a seat in the waiting area, ma’am."
71,"GILBERT: Mr. Tweed?  Your wife is in stable condition, but there was a problem with the baby’s cord.  We did everything we could, but I’m afraid it was too late.",GILBERT,"Mr. Tweed?  Your wife is in stable condition, but there was a problem with the baby’s cord.  We did everything we could, but I’m afraid it was too late."
72,MR. TWEED: Too late?  We waited and waited! ,MR. TWEED,Too late?  We waited and waited! 
73,GILBERT: I’m so sorry.,GILBERT,I’m so sorry.
74,MR. TWEED: You heedless--!,MR. TWEED,You heedless--!
75,DR. POWELL: Take this man out onto the street!,DR. POWELL,Take this man out onto the street!
76,DOCTORS: Come on.  Stop it!  Come on you three!,DOCTORS,Come on.  Stop it!  Come on you three!
77,MR. TWEED: You call yourselves doctors!,MR. TWEED,You call yourselves doctors!
78,ANNE: What happened Gil?,ANNE,What happened Gil?
79,GILBERT: Lost the baby.,GILBERT,Lost the baby.
80,"DR. POWELL: A word with you, lad.",DR. POWELL,"A word with you, lad."
81,     SCENE: Bellevue Hospital terrace,     SCENE,Bellevue Hospital terrace
82,"DR. POWELL: You’ll get used to this, if you’re to spend your lives together.  The woman came to us too late.",DR. POWELL,"You’ll get used to this, if you’re to spend your lives together.  The woman came to us too late."
83,GILBERT: She should have been hospitalized a week ago.,GILBERT,She should have been hospitalized a week ago.
84,"DR. POWELL: [to Anne] Excuse us.  [to Gil] This is part of your lot as a surgeon.  There are some you can afford to save, and some who--.  This is a large institution.  You’re what I was 30 years ago, Gil.  Think!  Think of the potential you have, the lives you should save, huh?  [to Anne] Oh, take him home, woman. Give him a good stiff drink of whiskey.",DR. POWELL,"[to Anne] Excuse us.  [to Gil] This is part of your lot as a surgeon.  There are some you can afford to save, and some who--.  This is a large institution.  You’re what I was 30 years ago, Gil.  Think!  Think of the potential you have, the lives you should save, huh?  [to Anne] Oh, take him home, woman. Give him a good stiff drink of whiskey."
85, , ,
86,     SCENE: New York park,     SCENE,New York park
87,ANNE: I feel like we’ve been walking in circles.,ANNE,I feel like we’ve been walking in circles.
88,"GILBERT: You can’t expect life to be normal here, Anne.",GILBERT,"You can’t expect life to be normal here, Anne."
